fire_size,fire_size_class,latitude,longitude,state,date (DAY),Date(month),date (YEAR),Vegetation,fire_mag,Wind_cont,Hum_cont,remoteness
1,B,39.6414,-119.3083,NV,6,6,2005,0,0.1,0,0,0.487447455
1,B,30.90472001,-93.55749999,TX,11,12,2005,12,0.1,2.148856799,70.73291139,0.241893505
20,C,32.56499998,-96.1751,TX,9,21,2005,12,1,3.22496732,61.75294118,0.265119968
3,B,18.01667,-66.451408,PR,3,25,2005,12,0.1,-1,-1,0.015510301
15,C,33.31660999,-96.06086,TX,12,26,2005,16,1,3.75817757,51.79672897,0.263525092
2,B,34.22433002,-95.58433997,OK,12,28,2005,16,0.1,3.685263158,46.08421053,0.258452923
1.74,B,42.82194189,-73.35379719,NY,4,21,2005,4,0.1,0,0,0.05454647
3.8,B,44.52463094,-88.99604272,WI,4,8,2005,15,0.1,4.397942002,61.85532747,0.192648714
563,E,39.6028,-112.32612,UT,6,27,2005,0,10,-1,-1,0.417145834
13,C,34.0804861,-83.86163681,GA,1,25,2005,16,1,0,0,0.151146535
109,D,31.10221999,-93.93528001,TX,4,29,2005,12,3,1.678429074,70.20576671,0.245256902
5.2,B,33.7556,-109.6509,AZ,6,6,2005,16,0.1,6.702830189,30.04245283,0.393958248
5,B,32.85305555,-116.885,CA,7,11,2005,12,0.1,1.99537246,79.30602958,0.466788404
15,C,36.88201001,-83.87012999,KY,11,13,2005,0,1,-1,-1,0.149522117
1,B,46.1525,-100.6915,ND,5,3,2005,9,0.1,0,0,0.301458187
14,C,47.86282456,-94.78310872,MN,4,3,2005,15,1,3.510111317,61.44669811,0.245325549
9.95,B,31.36263391,-82.89835757,GA,10,24,2005,12,0.1,1.851815505,74.85353535,0.144445336
10,C,31.1489,-90.3086,MS,10,30,2005,12,1,1.328140704,73.60443407,0.211691526
3,B,37.41014998,-83.95702998,KY,3,29,2005,0,0.1,-1,-1,0.150010747
4,B,33.3444,-90.4514,MS,11,5,2005,16,0.1,3.68147714,65.55771567,0.211422915
1,B,41.81416667,-123.3583333,CA,6,11,2005,15,0.1,0,0,0.528093657
1,B,33.37665999,-98.77128999,TX,7,2,2005,16,0.1,-1,-1,0.289043231
10,C,30.06666667,-84.61666667,FL,3,12,2005,12,1,-1,-1,0.160832702
